Area Code,Area Code (M49),Area,Item Code,Item Code (CPC),Item,Element Code,Element,Year Code,Year,Source Code,Source,Unit,Value,Flag,Note
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,1992,1992,3050,FAO TIER 1,ha,8465.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,1993,1993,3050,FAO TIER 1,ha,5143.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,1994,1994,3050,FAO TIER 1,ha,1731.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,1995,1995,3050,FAO TIER 1,ha,1255.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,1996,1996,3050,FAO TIER 1,ha,4156.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,1997,1997,3050,FAO TIER 1,ha,5261.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,1998,1998,3050,FAO TIER 1,ha,4468.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,1999,1999,3050,FAO TIER 1,ha,4196.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2000,2000,3050,FAO TIER 1,ha,3862.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2001,2001,3050,FAO TIER 1,ha,1500.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2002,2002,3050,FAO TIER 1,ha,1870.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2003,2003,3050,FAO TIER 1,ha,3065.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2004,2004,3050,FAO TIER 1,ha,2840.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2005,2005,3050,FAO TIER 1,ha,2385.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2006,2006,3050,FAO TIER 1,ha,2524.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2007,2007,3050,FAO TIER 1,ha,2504.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2008,2008,3050,FAO TIER 1,ha,2586.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2009,2009,3050,FAO TIER 1,ha,3120.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2010,2010,3050,FAO TIER 1,ha,4125.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2011,2011,3050,FAO TIER 1,ha,4500.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2012,2012,3050,FAO TIER 1,ha,4656.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2013,2013,3050,FAO TIER 1,ha,4660.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2014,2014,3050,FAO TIER 1,ha,5174.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2015,2015,3050,FAO TIER 1,ha,4985.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2016,2016,3050,FAO TIER 1,ha,5040.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2017,2017,3050,FAO TIER 1,ha,3274.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2018,2018,3050,FAO TIER 1,ha,3222.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2019,2019,3050,FAO TIER 1,ha,3481.000000,A,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2030,2030,3050,FAO TIER 1,ha,2983.000000,E,
154,'807,North Macedonia,27,'0113,Rice,5312,Area harvested,2050,2050,3050,FAO TIER 1,ha,3273.000000,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),1992,1992,3050,FAO TIER 1,kilotonnes,2.370200,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),1993,1993,3050,FAO TIER 1,kilotonnes,1.440000,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),1994,1994,3050,FAO TIER 1,kilotonnes,0.484700,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),1995,1995,3050,FAO TIER 1,kilotonnes,0.351400,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),1996,1996,3050,FAO TIER 1,kilotonnes,1.163700,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),1997,1997,3050,FAO TIER 1,kilotonnes,1.473100,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),1998,1998,3050,FAO TIER 1,kilotonnes,1.251000,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),1999,1999,3050,FAO TIER 1,kilotonnes,1.174900,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2000,2000,3050,FAO TIER 1,kilotonnes,1.081400,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2001,2001,3050,FAO TIER 1,kilotonnes,0.420000,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2002,2002,3050,FAO TIER 1,kilotonnes,0.523600,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2003,2003,3050,FAO TIER 1,kilotonnes,0.858200,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2003,2003,3051,UNFCCC,kilotonnes,0.704800,A,NC/CRF/BUR
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2004,2004,3050,FAO TIER 1,kilotonnes,0.795200,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2005,2005,3050,FAO TIER 1,kilotonnes,0.667800,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2006,2006,3050,FAO TIER 1,kilotonnes,0.706700,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2007,2007,3050,FAO TIER 1,kilotonnes,0.701100,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2008,2008,3050,FAO TIER 1,kilotonnes,0.724100,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2008,2008,3051,UNFCCC,kilotonnes,0.600000,A,NC/CRF/BUR
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2009,2009,3050,FAO TIER 1,kilotonnes,0.873600,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2010,2010,3050,FAO TIER 1,kilotonnes,1.155000,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2011,2011,3050,FAO TIER 1,kilotonnes,1.260000,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2012,2012,3050,FAO TIER 1,kilotonnes,1.303700,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2012,2012,3051,UNFCCC,kilotonnes,1.090000,A,NC/CRF/BUR
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2013,2013,3050,FAO TIER 1,kilotonnes,1.304800,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2013,2013,3051,UNFCCC,kilotonnes,1.090000,A,NC/CRF/BUR
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2014,2014,3050,FAO TIER 1,kilotonnes,1.448700,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2014,2014,3051,UNFCCC,kilotonnes,1.210000,A,NC/CRF/BUR
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2015,2015,3050,FAO TIER 1,kilotonnes,1.395800,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2016,2016,3050,FAO TIER 1,kilotonnes,1.411200,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2017,2017,3050,FAO TIER 1,kilotonnes,0.916700,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2018,2018,3050,FAO TIER 1,kilotonnes,0.902200,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2019,2019,3050,FAO TIER 1,kilotonnes,0.974700,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2030,2030,3050,FAO TIER 1,kilotonnes,0.835200,E,
154,'807,North Macedonia,27,'0113,Rice,7225,Emissions (CH4),2050,2050,3050,FAO TIER 1,kilotonnes,0.916400,E,
