Recipient Country Code,Recipient Country Code (M49),Recipient Country,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
154,'807,North Macedonia,12061,Cereals,500,Food aid received,1994,1994,tonnes,46019.000000,X,Data provided by WFP
154,'807,North Macedonia,12061,Cereals,500,Food aid received,1999,1999,tonnes,78754.000000,X,Data provided by WFP
154,'807,North Macedonia,12061,Cereals,500,Food aid received,2000,2000,tonnes,47850.000000,X,Data provided by WFP
154,'807,North Macedonia,12061,Cereals,500,Food aid received,2001,2001,tonnes,1267.000000,X,Data provided by WFP
154,'807,North Macedonia,11988,Coarse Grains,500,Food aid received,1994,1994,tonnes,46019.000000,X,Data provided by WFP
154,'807,North Macedonia,11988,Coarse Grains,500,Food aid received,1999,1999,tonnes,40000.000000,X,Data provided by WFP
154,'807,North Macedonia,12062,Non-Cereals,500,Food aid received,1999,1999,tonnes,3148.000000,X,Data provided by WFP
154,'807,North Macedonia,12062,Non-Cereals,500,Food aid received,2000,2000,tonnes,4450.000000,X,Data provided by WFP
154,'807,North Macedonia,12062,Non-Cereals,500,Food aid received,2001,2001,tonnes,1353.000000,X,Data provided by WFP
154,'807,North Macedonia,12062,Non-Cereals,500,Food aid received,2002,2002,tonnes,169.000000,X,Data provided by WFP
154,'807,North Macedonia,11704,Other Non-Cereals,500,Food aid received,1999,1999,tonnes,2833.000000,X,Data provided by WFP
154,'807,North Macedonia,11704,Other Non-Cereals,500,Food aid received,2001,2001,tonnes,1313.000000,X,Data provided by WFP
154,'807,North Macedonia,11704,Other Non-Cereals,500,Food aid received,2002,2002,tonnes,169.000000,X,Data provided by WFP
154,'807,North Macedonia,11726,"Pulses, Total",500,Food aid received,1999,1999,tonnes,315.000000,X,Data provided by WFP
154,'807,North Macedonia,11726,"Pulses, Total",500,Food aid received,2000,2000,tonnes,2400.000000,X,Data provided by WFP
154,'807,North Macedonia,11726,"Pulses, Total",500,Food aid received,2001,2001,tonnes,40.000000,X,Data provided by WFP
154,'807,North Macedonia,10031,Rice Total,500,Food aid received,1999,1999,tonnes,231.000000,X,Data provided by WFP
154,'807,North Macedonia,11788,Vegetable Oils,500,Food aid received,2000,2000,tonnes,2050.000000,X,Data provided by WFP
154,'807,North Macedonia,11945,Wheat & Wheat Flour,500,Food aid received,1999,1999,tonnes,38523.000000,X,Data provided by WFP
154,'807,North Macedonia,11945,Wheat & Wheat Flour,500,Food aid received,2000,2000,tonnes,47850.000000,X,Data provided by WFP
154,'807,North Macedonia,11945,Wheat & Wheat Flour,500,Food aid received,2001,2001,tonnes,1267.000000,X,Data provided by WFP
